Plan_Version,Plan_Status,Column,Issue,Action,Cleaning_Rule,Reason,Created_Date
v1,FROZEN,movie_id,Possible duplicate identifiers,DROP / REVIEW,Check duplicate movie_id values. Remove only confirmed duplicate movie records.,movie_id should uniquely identify each movie.,2026-07-22
v1,FROZEN,Revenue,Zero values,KEEP / FLAG,Do not automatically replace zero Revenue. Retain and flag zero values unless verified as missing.,Replacing Revenue without evidence can distort Profit and ROI calculations.,2026-07-22
v1,FROZEN,Production_Companies,Missing values,RECOVER / KEEP MISSING,"Attempt to recover the actual company from reliable related data. Do not use mode imputation. If the actual company cannot be verified, retain as missing or use a documented Unknown category.",Assigning the most frequent company would create false company information and distort company analysis.,2026-07-22
v1,FROZEN,Primary_Production_Company,Missing or Unknown values,RECOVER / STANDARDIZE,Recover from verified Production_Companies data where possible. Standardize unresolved values consistently.,Required for reliable company-level profitability and performance analysis.,2026-07-22
v1,FROZEN,Production_Company_Count,Zero values,VALIDATE / RECALCULATE,Compare count with Production_Companies. Recalculate only when valid company information exists.,The count should be consistent with the actual production-company information.,2026-07-22
v1,FROZEN,Genre_Count,Zero values,VALIDATE / RECALCULATE,Compare Genre_Count with Genres and recalculate when valid genre information is available.,Genre_Count should represent the actual number of genres assigned to the movie.,2026-07-22
v1,FROZEN,Cast_Gender_Ratio,Missing or zero values,RECALCULATE / KEEP MISSING,Recalculate from available male and female cast counts where mathematically valid. Do not fabricate a ratio when required data is missing.,Derived values should be calculated from source columns rather than statistically guessed.,2026-07-22
v1,FROZEN,Release_Date,Potential date-format issues,TYPE FIX,Convert valid values to a consistent date format. Flag malformed dates instead of guessing.,Consistent dates are required for release trend and seasonality analysis.,2026-07-22
v1,FROZEN,Release_Year,Potential type inconsistencies,TYPE FIX / VALIDATE,Convert to numeric integer format and validate against Release_Date where available.,Ensures accurate year-based analysis.,2026-07-22
v1,FROZEN,Text Columns,Whitespace and inconsistent formatting,HARMONIZE,Trim leading and trailing whitespace and standardize equivalent category formatting without changing legitimate names.,Prevents the same category from appearing as multiple values due to formatting differences.,2026-07-22
